City,Pickup_latitude,Pickup_longitude
Depew,42.904958,-78.7006
Owego,42.120274,-76.25874
Friendship,42.192384,-78.14308
North Babylon,40.733398,-73.32257
West Babylon,40.922326,-72.637078
Hunter,42.222061,-74.23418
Eaton,42.83917,-75.65482
Copenhagen,43.859025,-75.72942
Pearl River,41.063329,-74.01734
Round Lake,42.932326,-73.79363
West Lebanon,42.479384,-73.474809
Rochester,43.223213,-77.59721
Bohemia,40.770042,-73.11376
Barryville,41.480326,-74.92694
Washington Mills,43.053769,-75.271559
New York,40.780751,-73.977182
New York,40.754591,-73.976238
Westtown,41.334034,-74.54593
Locust Valley,40.881957,-73.59417
Tonawanda,43.001907,-78.8631
Worcester,42.610314,-74.72401
Scipio Center,42.774714,-76.57045
Port Jervis,41.374734,-74.66315
Athol,43.484741,-73.89151
Herkimer,43.038149,-74.9846
Hogansburg,44.98184,-74.67374
Hobart,42.368357,-74.66452
Caneadea,42.37074,-78.19335
Sharon Springs,42.774077,-74.58404
Rochester,43.286024,-77.684264
Tomkins Cove,41.271543,-73.98676
Medford,40.820786,-72.98375
Piseco,43.40276,-74.56972
La Grange,41.643599,-73.847176
Utica,43.101869,-75.231158
Phoenix,43.235916,-76.31339
Niagara Falls,43.096555,-79.03925
Kirkville,43.099547,-75.9619
Bedford,41.195778,-73.62777
Brantingham,43.689564,-75.27252
Woodridge,41.708062,-74.5698
Honeoye Falls,42.964593,-77.5919
Seaford,40.679752,-73.48959
Albany,42.614852,-73.970812
Putnam Station,43.74531,-73.41569
West Davenport,42.183045,-74.925617
Rochester,43.256462,-77.66183
Smithboro,42.039512,-76.400376
Little Genesee,42.020028,-78.20368
Elmira,42.091924,-76.79217
Schenectady,42.814476,-73.94337
Kingston,41.878801,-74.345684
South New Berlin,42.533274,-75.38008
White Plains,41.041191,-73.80953
Morristown,44.585561,-75.64797
Le Roy,42.979887,-77.97053
Buffalo,42.941407,-78.83741
New York,40.780751,-73.977182
Central Valley,41.322344,-74.12354
Thompsonville,41.676139,-74.6217
Manlius,42.987329,-75.96763
Syracuse,43.074566,-76.14747
Mohegan Lake,41.314676,-73.85118
East Hampton,40.995384,-72.18564
